X1,X2,Y
12.40149934,10.88767834,0
9.596501622,10.46708392,0
13.54068067,9.472929695,0
8.340952062,13.30704267,0
10.51449659,11.99594914,0
10.41026354,9.826826682,0
13.40476473,8.045763645,0
9.33777912,10.51845159,0
8.809587723,7.892184095,0
7.913128811,11.38159236,0
7.828310279,12.98366934,0
13.95964997,7.606134688,0
9.393119913,8.595448813,0
9.411830761,13.24727018,0
9.556417386,14.32700739,0
9.620543848,10.62588021,0
12.48004616,13.54366665,0
9.411644494,7.814530507,0
9.11091154,11.83778896,0
8.263683985,8.496788398,0
9.371325961,11.65262156,0
8.382045805,9.494058473,0
15.31333835,7.56818729,0
5.996391178,8.05439305,0
11.70650391,8.146119513,0
3.690088842,9.530924122,0
9.676667988,9.489918778,0
11.65658774,12.1316602,0
8.975346036,10.01170367,0
13.29002734,9.031555454,0
6.707690742,9.476861835,0
10.92765878,14.4142969,0
10.06106443,10.4990048,0
8.587650995,9.067807325,0
11.93102064,9.362284218,0
6.535235343,8.477414305,0
11.02600536,6.285039839,0
9.399496956,9.686337353,0
13.08060935,9.410764467,0
9.348442387,9.128447917,0
9.392059255,11.91921477,0
12.22997915,10.33185197,0
9.51475063,7.930823454,0
12.40277152,11.59081638,0
8.737136793,9.349905268,0
10.28663797,9.109428793,0
9.68174334,7.88675958,0
11.50989836,7.161236696,0
10.71799952,14.92984346,0
6.072517368,9.711367182,0
9.864102026,9.163096517,0
11.87447052,8.217663,0
11.52897794,7.577190707,0
8.081861181,12.64949478,0
10.20508053,9.548791897,0
10.89900985,6.820911925,0
11.73969333,6.049268436,0
7.873955927,9.801086968,0
11.3607085,7.786539066,0
8.950286676,10.93121045,0
6.916967082,10.39882026,0
11.28653527,7.755403895,0
8.390638337,7.791351247,0
8.799829856,9.548662309,0
8.466310149,11.87709882,0
10.53959592,9.092655258,0
9.536851917,13.48022762,0
8.910193982,12.25020517,0
9.340005804,12.83803592,0
8.29974424,10.82901357,0
10.71222831,11.32160731,0
13.83877337,12.11951955,0
12.95850914,7.978366727,0
9.341661512,8.807141683,0
9.530831675,8.637623436,0
13.7091564,7.977289358,0
15.1457435,9.099249243,0
10.54350572,8.650990022,0
12.3858987,12.21069516,0
7.263130456,9.854338299,0
9.62748958,9.431246149,0
13.596414,9.581724688,0
9.012474424,11.81537504,0
10.72130295,9.14541399,0
